,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,687.0372428453302,1.360469787812535,True,6000.0,0.0
1,n5,577.6336301679476,1.1764432386312578,True,6000.0,0.0
2,n7,712.4683356239402,1.408040188980119,True,6000.0,0.0
3,n10,2431.6027364193797,3.706711488444176,True,2718.0,1.06
4,s5,576.0761362503035,1.1637901742430374,True,6000.0,0.0
5,s7,674.4100281978899,1.3249705858504714,True,6000.0,0.0
6,s10,1253.122142618835,2.225794214243046,True,4922.0,0.35
7,e5,790.9424829722157,1.5298694061358136,True,6000.0,0.0
8,e7,949.7966745837366,1.7786454580219786,True,6000.0,0.0
9,e10,3584.2298484045787,4.823997104178437,True,2381.0,1.17
10,w5,525.0865126988454,1.0782063915787379,True,6000.0,0.0
11,w7,481.09417447516967,1.0001957889296667,True,6000.0,0.0
12,w10,1784.5304353116758,3.0195100428285544,True,3890.0,0.68
13,nw5,592.2522957147096,1.1988912868718817,True,6000.0,0.0
14,nw7,612.1561622616675,1.239182514699732,True,6000.0,0.0
15,nw10,596.0384815865376,1.2164050644623217,True,6000.0,0.0
16,sw5,569.2231722821657,1.1640555670391937,True,6000.0,0.0
17,sw7,554.1586769600983,1.1379028274334668,True,6000.0,0.0
18,sw10,553.5961575060485,1.1274870824970438,True,6000.0,0.0
19,ne5,727.2400035186838,1.4176218392177071,True,6000.0,0.0
20,ne7,767.2788466497077,1.5133705062124412,True,6000.0,0.0
21,ne10,960.018106161704,1.7811096589270947,True,6000.0,0.0
22,se5,696.0165612240489,1.3809852405239067,True,6000.0,0.0
23,se7,613.5982920325114,1.222307354646437,True,6000.0,0.0
24,se10,1002.3820270999277,1.8806417018760369,True,6000.0,0.0
