,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,321.9746404435249,0.6121190882956747,True,6000.0,0.0
1,n5,950.2307648121991,1.7214325449496362,True,5493.0,0.46
2,n7,2732.219060840855,4.2229042671419705,True,4882.0,1.01
3,n10,10232.156487969849,7.49608533917205,False,-16239.0,13.41
4,s5,629.0957154522206,1.150083574866948,True,6000.0,0.0
5,s7,1054.468842449281,1.7994348847257355,True,6000.0,0.0
6,s10,9820.427569324173,7.194452431739321,False,-16216.0,13.39
7,e5,1155.3207394372275,2.0667633979199063,True,5395.0,0.55
8,e7,3406.8698066905868,5.130828022124378,True,4742.0,1.15
9,e10,226690.09175431472,156.87895623135967,False,-14932.0,13.58
10,w5,937.1070574083751,1.716313291956731,True,5522.0,0.44
11,w7,3363.2974193258133,5.095905180796687,True,4744.0,1.14
12,w10,1196.7988559630555,0.8767757186542532,False,-1500.0,0.0
13,nw5,762.7661418226648,1.4310809415059378,True,5799.0,0.18
14,nw7,1783.050227876873,2.8392519552179505,True,4945.0,0.96
15,nw10,10736.69183654233,5.250216056988914,False,668.0,2.12
16,sw5,589.3424384175835,1.1077865383789163,True,6000.0,0.0
17,sw7,1338.4038859272855,2.148320844185049,True,5514.0,0.44
18,sw10,4658.720546928866,5.606161909661691,True,4758.0,1.13
19,ne5,827.7644275075261,1.5443366184841905,True,5496.0,0.46
20,ne7,1671.4278261974207,2.691510187113399,True,5030.0,0.89
21,ne10,5875.895571672985,7.096492236320031,True,3694.0,2.09
22,se5,657.6052266967431,1.2407645786731,True,5883.0,0.1
23,se7,1351.9602344590617,2.405623192987654,True,5486.0,0.47
24,se10,6288.857927206917,3.957745706234687,False,-687.0,0.63
