,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,1084.711050289005,1.3474671432161553,True,5974.0,0.02
1,n5,918.0596373512853,1.1695027227404908,True,6000.0,0.0
2,n7,1006.3760316340085,1.2935424571131215,True,6000.0,0.0
3,n10,2401.420840817813,2.5601501501256,True,3413.0,1.23
4,s5,1705.1182739914839,1.9288668257822217,True,4478.0,0.73
5,s7,2415.3658890338447,2.537149043102778,True,3183.0,1.34
6,s10,5157.495353448514,2.541890267840569,False,-1279.0,0.61
7,e5,2679.461705079759,2.5518682905521515,True,5643.0,0.17
8,e7,5199.839364804813,3.722147004155199,True,3012.0,1.44
9,e10,10217.492485710993,12.536800595964408,False,-14841.0,7.08
10,w5,1442.829320258466,1.7552668129665037,True,5968.0,0.01
11,w7,2643.6613608178054,2.4410538881050834,True,5731.0,0.13
12,w10,1115.6493755436456,1.5581695189157063,False,-1500.0,0.0
13,nw5,948.559071624467,1.2287034606534548,True,6000.0,0.0
14,nw7,994.5751474916597,1.2883097765436007,True,6000.0,0.0
15,nw10,1746.1239374056488,1.9887516371362743,True,6000.0,0.0
16,sw5,1366.7098224444142,1.6810698923055525,True,5904.0,0.05
17,sw7,1931.3461763009564,2.1997109069486975,True,5739.0,0.11
18,sw10,874.5925115521273,0.9110338662001326,False,-1500.0,0.0
19,ne5,1431.5587447951561,1.7373285737805293,True,5978.0,0.02
20,ne7,2291.2659927526,2.3967217497412134,True,5945.0,0.03
21,ne10,8315.470013816452,4.687412634620323,False,-16400.0,7.86
22,se5,1571.715975120665,1.8556268891625325,True,5144.0,0.4
23,se7,3086.2992352306355,2.8133994851692212,True,2542.0,1.64
24,se10,5013.016085187515,2.950568619886707,False,0.0,0.0
