,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,1029.4221576828006,2.0547348456742527,True,5850.0,0.14
1,n5,1468.146562946983,2.9014754208438402,True,5231.0,0.7
2,n7,3638.055806558846,4.724747800725774,True,2978.0,2.74
3,n10,9069.829658334456,6.644563852259675,False,-4495.0,2.73
4,s5,1879.9670148976177,3.0518945047039248,True,4924.0,0.98
5,s7,2779.4755008788907,3.6380569383231554,True,3712.0,2.08
6,s10,6678.132990752458,3.8160759947156904,False,-3060.0,2.78
7,e5,1518.3035354553217,2.538969122834986,True,5310.0,0.62
8,e7,3362.715922997804,4.161777132423024,True,3028.0,2.69
9,e10,6479.296053154087,4.53732216607429,False,-7797.0,5.73
10,w5,1951.1585595073666,3.5347075353394324,True,5168.0,0.76
11,w7,3811.53768697056,5.3911424143855164,True,3755.0,2.02
12,w10,5220.5464658262845,3.8245761654405013,False,-3730.0,2.04
13,nw5,1427.916186950516,2.7834623527300506,True,5565.0,0.4
14,nw7,2251.4735855541767,3.6609326594376856,True,4233.0,1.61
15,nw10,6972.060643720821,5.1077367353266085,False,-9470.0,7.24
16,sw5,1755.6056341511464,2.9705679088851884,True,5042.0,0.87
17,sw7,2184.638685117978,3.3050509608441425,True,4721.0,1.15
18,sw10,3394.8897587211177,3.20878049028461,True,3361.0,2.37
19,ne5,1027.8439312415908,2.0933684954003886,True,5858.0,0.13
20,ne7,1049.0307575358338,2.1022660471659997,True,5715.0,0.26
21,ne10,3195.380532506751,2.5400481180498815,True,3929.0,1.87
22,se5,1444.3836162021014,2.570077608900536,True,5308.0,0.64
23,se7,2184.8808857709587,3.5526518467820467,True,4209.0,1.63
24,se10,9067.01396901233,5.065370932409123,False,-9529.0,8.65
