,X Wind,Y Wind,Mean TTE,Completed Mission,Out of Bounds,Out of Time,Tipped
0,-15.0,-15.0,4.749227162725486,False,,,
1,-15.0,-12.5,3.9542429493159417,False,,,
2,-15.0,-10.0,3.160992318547009,False,,,
3,-15.0,-7.5,2.3703172098502336,False,,,
4,-15.0,-5.0,1.582306407615879,False,,,
5,-15.0,-2.5,0.7972775201045932,False,,,
6,-15.0,0.0,0.11684973113547448,False,,,
7,-15.0,2.5,0.7972775201045932,False,,,
8,-15.0,5.0,1.582306407615879,False,,,
9,-15.0,7.5,2.3703172098502336,False,,,
10,-15.0,10.0,3.160992318547009,False,,,
11,-15.0,12.5,3.9542429493159417,False,,,
12,-15.0,15.0,4.749227162725486,False,,,
13,-12.5,-15.0,4.733969016353731,False,,,
14,-12.5,-12.5,3.942012703556325,False,,,
15,-12.5,-10.0,3.1514129660756356,False,,,
16,-12.5,-7.5,2.3623415770684573,False,,,
17,-12.5,-5.0,1.5771621172952601,False,,,
18,-12.5,-2.5,0.7944936722951773,False,,,
19,-12.5,0.0,0.11472795523382183,False,,,
20,-12.5,2.5,0.7944936722951773,False,,,
21,-12.5,5.0,1.5771621172952601,False,,,
22,-12.5,7.5,2.3623415770684573,False,,,
23,-12.5,10.0,3.1514129660756356,False,,,
24,-12.5,12.5,3.942012703556325,False,,,
25,-12.5,15.0,4.733969016353731,False,,,
26,-10.0,-15.0,4.722407897048454,False,,,
27,-10.0,-12.5,3.93089691948957,False,,,
28,-10.0,-10.0,3.1425615787960974,False,,,
29,-10.0,-7.5,2.3572343174963115,False,,,
30,-10.0,-5.0,1.5728887519178811,False,,,
31,-10.0,-2.5,0.7928182079672831,False,,,
32,-10.0,0.0,0.11258456310375956,False,,,
33,-10.0,2.5,0.7928182079672831,False,,,
34,-10.0,5.0,1.5728887519178811,False,,,
35,-10.0,7.5,2.3572343174963115,False,,,
36,-10.0,10.0,3.1425615787960974,False,,,
37,-10.0,12.5,3.93089691948957,False,,,
38,-10.0,15.0,4.722407897048454,False,,,
39,-7.5,-15.0,4.713410565407338,False,,,
